candidate_id,split,rows,mean_pinball,pinball_q10,pinball_q50,pinball_q90,coverage_80,coverage_80_error,core_crossing_rows,core_crossing_rate,q50_unique,median_q50_unique_per_origin,origins_q50_unique_ge_10_rate,rank_dates,mean_date_spearman,median_date_spearman,positive_date_spearman_rate,mean_top_bottom_20_spread,horizon_months
CATBOOST_FIXED_ES_C_SHALLOW,COMMON_HOLDOUT,2444,0.10309444739022638,0.08210114815543672,0.16046534471692503,0.0667168492983174,0.631342062193126,0.168657937806874,0,0.0,935,19.5,1.0,52,-0.07483505826794777,-0.07334185874145069,0.36538461538461536,-0.015279772847985209,6
CATBOOST_FIXED_ES_C_SHALLOW,LATE_BACKTEST,1423,0.1540494241610621,0.13127330875152485,0.24266517539936688,0.0882097883322946,0.27406886858749124,0.5259311314125088,0,0.0,542,24.0,1.0,27,0.11620706337042426,0.11107068197174431,0.8888888888888888,0.10428801082702951,6
ROLLING_BAGGED_HUBER_Q50,DEVELOPMENT,10170,0.09671802647862676,0.055698530871007464,0.15045972115691958,0.08399582740795326,0.6626352015732546,0.13736479842674543,0,0.0,9424,58.0,1.0,178,-0.05271716167301914,-0.05263952903210778,0.33707865168539325,-0.019780479766911895,6
ROLLING_BAGGED_HUBER_Q50,COMMON_HOLDOUT,2444,0.10394520567262096,0.1135742327837867,0.1378570669979756,0.06040431723610065,0.5032733224222586,0.2967266775777414,0,0.0,2349,46.0,1.0,52,-0.09952288946670386,-0.06018906654534448,0.34615384615384615,-0.01249801068422209,6
ROLLING_BAGGED_HUBER_Q50,LATE_BACKTEST,1423,0.14643674686409738,0.15073574713145096,0.20610214853668743,0.08247234492415377,0.22698524244553758,0.5730147575544624,0,0.0,1405,57.0,1.0,27,0.1716775107036433,0.17838137131255963,0.8518518518518519,0.12028387668096407,6
UNIVERSE58_RESIDUAL_TWO_STAGE_Q50,DEVELOPMENT,10170,0.09637160944385693,0.05371299745583226,0.15306707058299107,0.08233476029274749,0.6861356932153392,0.11386430678466086,189,0.018584070796460177,2134,13.0,0.8033707865168539,178,0.03176550935580242,0.047756755570799905,0.6292134831460674,0.03776154215958671,6
UNIVERSE58_RESIDUAL_TWO_STAGE_Q50,COMMON_HOLDOUT,2444,0.09377402410033477,0.10660323926402696,0.11661230523401958,0.058106527802957796,0.5188216039279869,0.2811783960720131,599,0.24509001636661212,31,10.0,0.5769230769230769,52,-0.03605041856550972,-0.011908349973763275,0.46153846153846156,-0.004516262482714828,6
UNIVERSE58_RESIDUAL_TWO_STAGE_Q50,LATE_BACKTEST,1423,0.12448755699211987,0.14346965296115777,0.15188642017158616,0.07810659784361568,0.24595924104005623,0.5540407589599439,0,0.0,35,9.0,0.4074074074074074,27,0.07268692432073338,0.08238515078842679,0.7777777777777778,0.018806584818371046,6
LIGHTGBM_CATBOOST_DEV_WEIGHTED_ENSEMBLE,DEVELOPMENT,10170,0.09524900494054285,0.05439169035268618,0.14917502285165257,0.08218030161728981,0.6859390363815142,0.11406096361848583,0,0.0,7078,58.0,0.9382022471910112,178,-0.056607290821879236,-0.057422744090036476,0.3258426966292135,-0.014934580614821035,6
LIGHTGBM_CATBOOST_DEV_WEIGHTED_ENSEMBLE,COMMON_HOLDOUT,2444,0.09952796981350265,0.09901561742149885,0.13953934551114242,0.060028946507866665,0.545417348608838,0.2545826513911621,0,0.0,2119,43.0,1.0,52,-0.0735000687579738,-0.059313701971001304,0.36538461538461536,-0.019186593351912473,6
LIGHTGBM_CATBOOST_DEV_WEIGHTED_ENSEMBLE,LATE_BACKTEST,1423,0.1491511019863654,0.13982137075497084,0.22700613087416677,0.08062580432995861,0.2572030920590302,0.5427969079409698,0,0.0,1134,45.0,1.0,27,0.05490310380242902,0.050553806370564475,0.5555555555555556,0.04442583096038684,6
EMPIRICAL_INTERVAL_TWO_STAGE_ROLLING_Q50,DEVELOPMENT,10170,0.09903422660050115,0.05979661125545713,0.15086386263544327,0.08644220591060306,0.6716814159292035,0.12831858407079655,0,0.0,9770,58.0,1.0,178,-0.04738345100255197,-0.04561813651604171,0.38764044943820225,-0.01612879279283854,6
EMPIRICAL_INTERVAL_TWO_STAGE_ROLLING_Q50,COMMON_HOLDOUT,2444,0.07637183471496069,0.049864260085182015,0.12421121688525207,0.055040027174447996,0.851063829787234,0.051063829787234005,0,0.0,2387,47.0,1.0,52,-0.10343673784985682,-0.05787465309898243,0.36538461538461536,-0.02550050722594572,6
EMPIRICAL_INTERVAL_TWO_STAGE_ROLLING_Q50,LATE_BACKTEST,1423,0.09680267561721463,0.039036423956249025,0.178270340554215,0.07310126234117988,0.7456078706957133,0.05439212930428672,0,0.0,1414,57.0,1.0,27,0.17995317810797523,0.20120581992678954,0.8518518518518519,0.12138441256063073,6
FULL_FIXED_ES_QUANTILE,DEVELOPMENT,9873,0.13809949066443775,0.07899509326706698,0.2147149993261186,0.1205883794001277,0.6196698065430973,0.1803301934569027,0,0.0,7878,55.0,1.0,178,0.05262174273201042,0.07593194980388907,0.6235955056179775,0.0755413753247141,12
FULL_FIXED_ES_QUANTILE,COMMON_HOLDOUT,2491,0.13677205411287066,0.11616233453782493,0.20466340860796314,0.08949041919282394,0.567242071457246,0.232757928542754,0,0.0,2207,44.0,1.0,53,0.1778925869109886,0.1705645977990069,0.9433962264150944,0.15318983418448165,12
FULL_HUBER_Q50,DEVELOPMENT,9873,0.1379216904358612,0.07899509326706698,0.21418159864038885,0.1205883794001277,0.6196698065430973,0.1803301934569027,0,0.0,6550,47.0,0.7303370786516854,178,0.05534720200664868,0.06118585413851817,0.6123595505617978,0.057149322991730186,12
FULL_HUBER_Q50,COMMON_HOLDOUT,2491,0.13699425922405908,0.11616233453782493,0.20533002394152838,0.08949041919282394,0.567242071457246,0.232757928542754,0,0.0,2110,42.0,1.0,53,0.05174486876209576,0.06552352533714008,0.5471698113207547,0.08235632312384572,12
SHORT_FIXED_ES_QUANTILE,DEVELOPMENT,9873,0.15625424807654686,0.08822906063613514,0.24331021401370567,0.1372234695797998,0.5830041527397954,0.2169958472602046,9,0.0009115770282588879,6694,47.0,0.702247191011236,178,0.02529094134262087,0.03343935969079483,0.6348314606741573,0.028713859112042786,12
SHORT_FIXED_ES_QUANTILE,COMMON_HOLDOUT,2491,0.13827313843345793,0.12055263937208244,0.2070177502985982,0.0872490256296931,0.5640305098354075,0.23596949016459257,22,0.008831794460056202,2386,46.0,1.0,53,0.14182243840974074,0.10141073080481036,0.7547169811320755,0.13127378115327967,12
SHORT_HUBER_Q50,DEVELOPMENT,9873,0.1559409786137354,0.08822906063613514,0.24237040562527126,0.1372234695797998,0.5830041527397954,0.2169958472602046,5,0.0005064316823660489,6608,47.0,0.702247191011236,177,0.018413296497315736,0.02694264569842738,0.5706214689265536,0.03145340086349224,12
SHORT_HUBER_Q50,COMMON_HOLDOUT,2491,0.13453693749217405,0.12055263937208244,0.1958091474747466,0.0872490256296931,0.5640305098354075,0.23596949016459257,63,0.025291047771979124,2263,45.0,1.0,53,0.0925705187796252,0.0717569172088096,0.6226415094339622,0.08731069208371697,12
CATBOOST_FIXED_ES_C_SHALLOW,DEVELOPMENT,9873,0.13901851243046146,0.08335735290903806,0.2176841902099001,0.11601399417244619,0.652790438569837,0.14720956143016306,0,0.0,4784,47.0,1.0,178,0.07275704195947583,0.0839381935487762,0.6179775280898876,0.06635854652395529,12
